,season,week,team,players_out_total,players_questionable_total,players_doubtful_total,players_full_total,players_none_total,players_limit_total
2634,2022.0,16.0,KC,1,2,1,10,2,0
2635,2022.0,16.0,LAC,1,0,0,6,1,0
2636,2022.0,16.0,LAR,7,0,0,1,7,0
2637,2022.0,16.0,LV,1,6,0,2,1,6
2638,2022.0,16.0,MIA,0,6,2,7,4,6
2639,2022.0,16.0,MIN,1,2,0,3,1,2
2640,2022.0,16.0,NE,3,6,0,1,3,6
2641,2022.0,16.0,NO,4,5,0,1,6,4
2642,2022.0,16.0,NYG,2,0,0,1,2,4
2643,2022.0,16.0,NYJ,4,3,0,5,3,2
2644,2022.0,16.0,PHI,2,1,0,2,4,11
2645,2022.0,16.0,PIT,0,3,0,5,6,0
2646,2022.0,16.0,SEA,3,4,0,8,5,2
2647,2022.0,16.0,SF,3,5,0,5,4,5
2648,2022.0,16.0,TB,5,6,0,4,8,3
2649,2022.0,16.0,TEN,7,5,0,7,8,3
2650,2022.0,16.0,WAS,1,2,0,3,2,2
2651,2022.0,17.0,ARI,3,4,0,6,5,2
2652,2022.0,17.0,ATL,3,1,0,0,5,0
2653,2022.0,17.0,BAL,2,3,0,3,10,2
2654,2022.0,17.0,BUF,0,1,0,8,2,1
2655,2022.0,17.0,CAR,1,4,0,4,3,2
2656,2022.0,17.0,CHI,0,0,0,4,3,3
2657,2022.0,17.0,CIN,0,1,0,4,1,1
2658,2022.0,17.0,CLE,0,1,0,6,3,3
2659,2022.0,17.0,DAL,1,2,0,5,3,1
2660,2022.0,17.0,DEN,3,4,0,9,3,5
2661,2022.0,17.0,DET,2,3,0,4,2,3
2662,2022.0,17.0,GB,0,2,0,6,1,4
2663,2022.0,17.0,HOU,2,1,0,4,3,1
2664,2022.0,17.0,IND,3,1,0,2,3,0
